,NAME,SCORING,ROUNDS,TOTAL STROKES,DRIVE_DISTANCE,TOTAL DISTANCE,TOTAL DRIVES,FWY_%,FAIRWAYS HIT,POSSIBLE FAIRWAYS,GIR_%,GREENS HIT,# HOLES,RELATIVE/PAR,SG_P,TOTAL SG:PUTTING,SG_TTG,SG:OTT,SG:APR,SG:ARG,SG_T,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,SCRAMBLING_P,PAR OR BETTER,MISSED GIR,POINTS,EVENTS,# OF WINS,# OF TOP-10S,POINTS BEHIND LEAD,RESET POINTS,TOP 10,1ST,2ND,3RD,Year
0,Rory McIlroy,"2,091",30,"2,091","19,200","19,200",60,253,253,420,364,364,540,-0.32,8.564,8.564,.916,.916,.403,.316,51.068,51.068,42.506,8.564,112,112,176,"1,190",8,1,5,"1,652",,1,1,1,,2017
1,Cameron Smith,"2,468",40,"2,468","21,540","21,540",72,291,291,504,454,454,648,-0.39,21.103,21.103,-.049,-.049,1.078,.239,60.401,60.401,39.298,21.103,118,118,194,"1,603",11,2,5,"1,239",,2,2,,1,2017
2,Shane Lowry,"2,221",39,"2,221","19,372","19,372",64,280,280,442,388,388,576,-0.29,16.665,16.665,.303,.303,.766,-.024,43.835,43.835,27.170,16.665,136,136,188,802,11,0,3,"2,040",,,,1,2,2017
3,Matt Fitzpatrick,"2,792",43,"2,792","23,765","23,765",80,357,357,555,474,474,720,-0.27,17.462,17.462,.558,.558,.465,.462,56.081,56.081,38.618,17.462,172,172,246,795,12,0,6,"2,047",,,,1,,2017
4,Justin Thomas,"3,281",51,"3,281","30,069","30,069",96,375,375,672,599,599,864,-0.39,10.977,10.977,.476,.476,.873,.366,77.857,77.857,66.880,10.977,181,181,265,"1,568",13,1,8,"1,274",,1,1,,2,2017
5,Cameron Young,"3,757",57,"3,757","34,258","34,258",108,460,460,756,626,626,972,-0.35,11.639,11.639,.950,.950,.193,.141,73.295,73.295,61.658,11.639,220,220,346,"1,230",17,0,5,"1,612",,,,3,2,2017
6,Scottie Scheffler,"3,592",63,"3,592","32,355","32,355",104,424,424,724,667,667,936,-0.36,17.319,17.319,.121,.121,.622,.291,58.672,58.672,41.353,17.319,157,157,269,"2,842",16,4,7,0,,4,4,1,,2017
7,Russell Henley,"4,033",61,"4,033","34,371","34,371",116,540,540,808,724,724,"1,044",-0.32,-.174,-.174,-.010,-.010,.966,.331,60.351,60.351,60.525,-.174,182,182,320,762,16,0,2,"2,080",,,,1,,2017
8,Collin Morikawa,"2,355",42,"2,355","18,147","18,147",60,322,322,472,427,427,612,-0.33,2.338,2.338,.608,.608,.736,-.257,30.612,30.612,28.274,2.338,111,111,185,961,11,0,6,"1,881",,,,2,,2017
9,Tommy Fleetwood,"2,655",43,"2,655","20,544","20,544",68,317,317,524,445,445,684,-0.32,17.156,17.156,.211,.211,.149,.414,40.371,40.371,23.216,17.156,149,149,239,481,12,0,3,"2,361",,,,,,2017
10,Joaquin Niemann,"3,469",54,"3,469","28,370","28,370",92,394,394,694,600,600,900,-0.34,4.097,4.097,.507,.507,.300,.487,50.679,50.679,46.582,4.097,190,190,300,994,16,1,3,"1,848",,1,1,,,2017
11,Jon Rahm,"2,924",46,"2,924","26,773","26,773",84,387,387,588,550,550,756,-0.31,.285,.285,1.370,1.370,.542,-.212,59.810,59.810,59.527,.285,120,120,206,"1,279",12,1,5,"1,563",,1,1,1,1,2017
12,Matt Kuchar,"3,812",55,"3,812","31,611","31,611",110,499,499,765,637,637,990,-0.30,29.647,29.647,-.209,-.209,-.020,.659,50.265,50.265,20.618,29.647,251,251,353,676,15,0,3,"2,166",,,,1,1,2017
13,Hideki Matsuyama,"3,665",53,"3,665","30,005","30,005",98,458,458,742,666,666,954,-0.34,-5.824,-5.824,.242,.242,.782,.178,47.088,47.088,52.913,-5.824,181,181,288,"1,544",14,2,5,"1,298",,2,2,,1,2017
14,Talor Gooch,"4,225",68,"4,225","37,001","37,001",122,533,533,854,759,759,"1,098",-0.34,3.667,3.667,-.086,-.086,.571,.521,52.976,52.976,49.308,3.667,213,213,339,"1,253",19,1,4,"1,589",,1,1,,,2017
