,NAME,ROUNDS,SCORING,DRIVE_DISTANCE,FWY_%,GIR_%,SG_P,SG_TTG,SG_T,SCRAMBLING_P,PAR OR BETTER,MISSED GIR,US_OPEN_TOP_10,TOP 10,1ST,Year
0,Dustin Johnson,87,69.172,313.6,57.17,67.82,.281,1.646,1.928,59.58,283,475,9,15,3,2016
1,Jason Day,76,69.313,304.2,50.46,67.23,1.130,.987,2.118,61.92,252,407,7,10,3,2016
2,Adam Scott,79,69.470,304.6,55.55,70.76,-.168,2.062,1.894,59.50,238,400,4,9,2,2016
3,Jordan Spieth,80,69.520,295.4,58.14,63.52,.758,.811,1.569,63.93,319,499,5,8,2,2016
4,Phil Mickelson,75,69.582,294.8,54.82,66.05,.565,.799,1.364,64.32,283,440,5,6,,2016
5,Rory McIlroy,69,69.646,306.8,61.06,69.62,-.207,1.888,1.681,58.70,199,339,5,8,2,2016
6,Matt Kuchar,100,69.844,285.8,65.67,67.82,.381,.933,1.314,61.51,342,556,7,10,,2016
7,Paul Casey,77,69.950,295.2,64.67,70.80,.112,1.260,1.372,61.44,239,389,3,7,,2016
8,Brooks Koepka,75,69.956,302.6,58.60,66.98,.445,.648,1.092,55.53,231,416,5,7,,2016
9,Steve Stricker,53,69.996,278.0,63.23,63.00,.620,.101,.721,66.01,233,353,2,3,,2016
10,Sergio Garcia,54,69.999,299.9,61.76,70.15,-.388,1.189,.801,57.66,158,274,3,4,1,2016
11,Charl Schwartzel,73,70.004,296.7,56.86,68.73,-.137,1.180,1.043,59.64,235,394,2,5,1,2016
12,Hideki Matsuyama,76,70.034,294.5,62.04,68.11,-.025,1.315,1.290,60.86,255,419,5,8,1,2016
13,Rickie Fowler,80,70.118,301.6,58.69,69.26,.153,1.224,1.378,62.21,265,426,6,8,,2016
14,Jim Furyk,52,70.130,280.8,69.09,68.27,.067,.463,.530,57.24,170,297,1,3,,2016
15,Justin Rose,65,70.148,303.9,57.90,67.92,-.197,1.325,1.128,58.10,208,358,5,5,,2016
16,Patrick Reed,105,70.170,297.4,55.96,64.65,.280,.746,1.026,63.97,403,630,9,11,1,2016
17,Brandt Snedeker,93,70.203,292.6,58.69,65.67,.395,.573,.968,62.73,345,550,5,7,1,2016
18,Branden Grace,63,70.204,295.6,55.14,66.76,-.105,.960,.855,59.05,212,359,4,6,1,2016
19,Jason Dufner,105,70.212,293.2,62.83,70.15,-.353,.840,.488,56.39,309,548,5,6,1,2016
20,Ryan Palmer,86,70.229,304.7,57.88,67.83,-.094,.868,.774,57.63,287,498,2,3,,2016
21,Gary Woodland,95,70.234,306.1,56.69,68.74,-.162,1.065,.903,60.16,308,512,1,4,,2016
22,Kevin Na,96,70.298,279.6,65.30,66.73,.074,.553,.627,58.53,326,557,6,8,,2016
23,Ryan Moore,86,70.317,283.2,66.52,65.78,.351,.544,.895,60.12,300,499,5,9,1,2016
24,Russell Knox,92,70.319,285.8,68.51,69.73,-.054,.560,.506,61.86,300,485,3,4,2,2016
25,Louis Oosthuizen,63,70.327,294.0,61.67,68.15,-.021,.857,.836,54.21,174,321,2,3,,2016
26,Bubba Watson,72,70.333,310.6,55.11,69.16,-.367,1.359,.992,52.74,202,383,3,4,1,2016
27,Daniel Berger,92,70.339,298.4,56.68,67.67,.175,.718,.893,56.95,295,518,4,6,1,2016
28,Webb Simpson,70,70.359,286.3,62.17,67.14,-.482,1.149,.667,59.42,246,414,1,2,,2016
